Distance [mm],Bx,By
70.6,-0.000200241,0.00024313
70.7,-0.000198031,0.000242093
70.8,-0.000195816,0.000240967
70.9,-0.000193816,0.000239842
71,-0.000192115,0.000238907
71.1,-0.00019041,0.000238345
71.2,-0.000188706,0.000237783
71.3,-0.00018708,0.000237083
71.4,-0.000185476,0.000236211
71.5,-0.000183797,0.000234863
71.6,-0.000182119,0.000233515
71.7,-0.00018044,0.000232167
71.8,-0.000178723,0.00023088
71.9,-0.00017708,0.000229801
72,-0.000175627,0.000228874
72.1,-0.000174142,0.000228077
72.2,-0.000172656,0.000227279
72.3,-0.000171171,0.000226481
72.4,-0.000169685,0.000225683
72.5,-0.000168082,0.000224949
72.6,-0.000166337,0.000224291
72.7,-0.000164645,0.000223486
72.8,-0.000162986,0.000222585
72.9,-0.000161327,0.000221684
73,-0.000160015,0.000220808
73.1,-0.000158781,0.000219938
73.2,-0.000157548,0.000219068
73.3,-0.000156314,0.000218198
73.4,-0.00015498,0.00021728
73.5,-0.000153439,0.000216325
73.6,-0.000151897,0.00021537
73.7,-0.000150355,0.000214415
73.8,-0.00014883,0.000213476
73.9,-0.000147574,0.000212706
74,-0.000146316,0.000211932
74.1,-0.000145058,0.000211159
74.2,-0.0001438,0.000210386
74.3,-0.000142541,0.000209611
74.4,-0.000141264,0.00020879
74.5,-0.000140009,0.000208006
74.6,-0.000138785,0.000207277
74.7,-0.000137562,0.000206548
74.8,-0.000136339,0.00020582
74.9,-0.000135137,0.000205039
75,-0.000133939,0.000204252
75.1,-0.000132764,0.000203539
75.2,-0.000131589,0.000202827
75.3,-0.000130414,0.000202114
75.4,-0.000129236,0.000201366
75.5,-0.000128069,0.000200614
75.6,-0.000127001,0.000199841
75.7,-0.000125933,0.000199068
75.8,-0.000124849,0.000198329
75.9,-0.000123757,0.000197603
76,-0.00012269,0.000196948
76.1,-0.000121635,0.000196325
76.2,-0.00012058,0.000195703
76.3,-0.000119526,0.00019508
76.4,-0.000118474,0.000194446
76.5,-0.000117402,0.000193688
76.6,-0.000116395,0.000192987
76.7,-0.000115387,0.000192287
76.8,-0.000114379,0.000191586
76.9,-0.000113372,0.000190885
77,-0.000112436,0.000190182
77.1,-0.000111529,0.000189478
77.2,-0.000110621,0.000188773
77.3,-0.0001097,0.000188137
77.4,-0.000108778,0.000187508
77.5,-0.000107836,0.000186904
77.6,-0.000106871,0.00018633
77.7,-0.000105906,0.000185753
77.8,-0.000104935,0.000185088
77.9,-0.000103981,0.000184339
78,-0.000103053,0.000183632
78.1,-0.000102124,0.000182926
78.2,-0.000101254,0.00018229
78.3,-0.000100408,0.000181679
78.4,-0.00009971,0.000181128
78.5,-0.000099013,0.000180576
78.6,-0.000098316,0.000180024
78.7,-0.000097619,0.000179472
78.8,-0.000096922,0.00017892
78.9,-0.000096143,0.000178366
79,-0.000095297,0.000177808
79.1,-0.000094452,0.000177251
79.2,-0.000093606,0.000176694
79.3,-0.000092829,0.000176112
79.4,-0.00009207,0.000175524
79.5,-0.000091361,0.000174968
79.6,-0.000090683,0.000174431
79.7,-0.000089998,0.000173984
79.8,-0.000089311,0.000173563
79.9,-0.000088625,0.000173142
80,-0.000087792,0.000172517
80.1,-0.000086939,0.000171845
80.2,-0.000086169,0.000171168
80.3,-0.000085411,0.000170489
80.4,-0.000084711,0.000169796
80.5,-0.000084046,0.0001692
80.6,-0.000083444,0.00016879
80.7,-0.000082843,0.00016838
80.8,-0.000082242,0.00016797
80.9,-0.000081694,0.000167571
81,-0.000081153,0.000167174
81.1,-0.000080519,0.000166707
81.2,-0.000079844,0.000166099
81.3,-0.000079243,0.000165559
81.4,-0.000078654,0.000165055
81.5,-0.000078065,0.000164551
81.6,-0.000077477,0.000164047
81.7,-0.000076888,0.000163543
81.8,-0.0000763,0.000163023
81.9,-0.00007571,0.000162512
82,-0.00007512,0.000162003
82.1,-0.000074529,0.000161494
82.2,-0.00007394,0.000160958
82.3,-0.000073352,0.000160412
82.4,-0.000072756,0.000159858
